Release 13.4 - par O.87xd (lin64)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Wed Jan 15 16:41:38 2014


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       bpm_dsp_example_map.ncd
OUTPUT FILE:      bpm_dsp_example_pad.txt
PART TYPE:        xc6vlx240t
SPEED GRADE:      -1
PACKAGE:          ff1156

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name     |Pin Usage|Pin Name                  |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|A15       |                |IOBM     |IO_L15P_36                |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|A16       |                |IOBM     |IO_L11P_SRCC_36           |UNUSED       |           |36            |          |         |           |         |         |          |           |                |
|A17       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|A18       |                |IOBM     |IO_L15P_26                |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|A19       |                |IOBS     |IO_L15N_26                |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|A20       |                |IOBM     |IO_L7P_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|A21       |                |IOBS     |IO_L7N_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|A22       |                |         |VCCO_26                   |             |           |26            |          |         |           |         |any******|          |           |                |
|A23       |                |IOBM     |IO_L1P_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|A24       |                |IOBS     |IO_L1N_26                 |UNUSED       |           |26            |          |         |           |         |         |          |           |                |
|A25       |                |IOBS     |IO_L3N_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|A26       |                |IOBS     |IO_L5N_25                 |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|A27       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|A28       |                |IOBM     |IO_L13P_25                |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|A29       |                |IOBS     |IO_L13N_25                |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|A30       |                |IOBM     |IO_L15P_25                |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|A31       |                |IOBS     |IO_L19N_GC_25             |UNUSED       |           |25            |          |         |           |         |         |          |           |                |
|A32       |                |         |VCCO_16                   |             |           |16            |          |         |           |         |any******|          |           |                |
|A33       |                |IOBM     |IO_L4P_16                 |UNUSED       |           |16            |          |         |           |         |         |          |           |                |
|A34       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA1       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA2       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA3       |                |IPAD     |MGTRXP0_114               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AA4       |                |IPAD     |MGTRXN0_114               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AA5       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA6       |                |         |MGTAVCC_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AA7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA8       |                |         |DOUT_BUSY_0               |             |           |              |          |         |           |         |         |          |           |                |
|AA9       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA10      |                |         |VCCAUX                    |             |           |              |          |         |           |         |2.5      |          |           |                |
|AA11      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA12      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AA13      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA14      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AA15      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA16      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AA17      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA18      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AA19      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA20      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AA21      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA22      |                |         |VCCAUX                    |             |           |              |          |         |           |         |2.5      |          |           |                |
|AA23      |                |IOBM     |IO_L16P_RS0_24            |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AA24      |                |IOBS     |IO_L14N_VREF_FOE_B_MOSI_24|UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AA25      |                |IOBM     |IO_L6P_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AA26      |                |IOBM     |IO_L17P_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AA27      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AA28      |                |IOBM     |IO_L7P_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AA29      |                |IOBS     |IO_L7N_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AA30      |                |IOBM     |IO_L1P_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AA31      |                |IOBS     |IO_L1N_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AA32      |                |         |VCCO_13                   |             |           |13            |          |         |           |         |any******|          |           |                |
|AA33      |                |IOBS     |IO_L0N_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AA34      |                |IOBM     |IO_L0P_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB1       |                |OPAD     |MGTTXP3_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AB2       |                |OPAD     |MGTTXN3_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AB3       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB4       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB5       |                |IPAD     |MGTREFCLK1N_113           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AB6       |                |IPAD     |MGTREFCLK1P_113           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AB7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB8       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB9       |                |         |VCCO_0                    |             |           |0             |          |         |           |         |any******|          |           |                |
|AB10      |                |IOBS     |IO_L10N_MRCC_34           |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AB11      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AB12      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB13      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AB14      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB15      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AB16      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB17      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AB18      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB19      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AB20      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB21      |                |         |VCCINT                    |             |           |              |          |         |           |         |1.0      |          |           |                |
|AB22      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB23      |                |IOBS     |IO_L16N_CSO_B_24          |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AB24      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AB25      |                |IOBM     |IO_L19P_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB26      |                |IOBS     |IO_L17N_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB27      |                |IOBM     |IO_L15P_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB28      |                |IOBM     |IO_L13P_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB29      |                |         |VCCO_13                   |             |           |13            |          |         |           |         |any******|          |           |                |
|AB30      |                |IOBM     |IO_L3P_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB31      |                |IOBS     |IO_L3N_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB32      |                |IOBM     |IO_L12P_VRN_13            |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB33      |                |IOBS     |IO_L4N_VREF_13            |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AB34      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AC1       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AC2       |                |         |MGTAVTT_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AC3       |                |IPAD     |MGTRXP3_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AC4       |                |IPAD     |MGTRXN3_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AC5       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AC6       |                |         |MGTAVCC_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AC7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AC8       |                |         |TDO_0                     |             |           |              |          |         |           |         |         |          |           |                |
|AC9       |                |IOBS     |IO_L12N_A02_D18_34        |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AC10      |                |IOBM     |IO_L10P_MRCC_34           |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AC11      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AC12      |                |IOBS     |IO_L9N_MRCC_33            |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AC13      |                |IOBM     |IO_L9P_MRCC_33            |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AC14      |                |IOBS     |IO_L2N_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AC15      |                |IOBM     |IO_L9P_MRCC_32            |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AC16      |                |         |VCCO_32                   |             |           |32            |          |         |           |         |any******|          |           |                |
|AC17      |                |IOBS     |IO_L11N_SRCC_32           |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AC18      |                |IOBM     |IO_L11P_SRCC_32           |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AC19      |                |IOBM     |IO_L14P_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AC20      |                |IOBM     |IO_L6P_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AC21      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AC22      |                |IOBM     |IO_L19P_24                |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AC23      |                |IOBM     |IO_L18P_24                |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AC24      |                |IOBS     |IO_L18N_24                |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AC25      |                |IOBS     |IO_L19N_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AC26      |                |         |VCCO_13                   |             |           |13            |          |         |           |         |any******|          |           |                |
|AC27      |                |IOBS     |IO_L15N_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AC28      |                |IOBS     |IO_L13N_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AC29      |                |IOBS     |IO_L11N_SRCC_13           |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AC30      |                |IOBS     |IO_L9N_MRCC_13            |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AC31      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AC32      |                |IOBS     |IO_L12N_VRP_13            |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AC33      |                |IOBM     |IO_L4P_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AC34      |                |IOBS     |IO_L2N_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AD1       |                |OPAD     |MGTTXP2_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AD2       |                |OPAD     |MGTTXN2_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AD3       |                |         |MGTAVTT_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AD4       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AD5       |                |IPAD     |MGTREFCLK0N_113           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AD6       |                |IPAD     |MGTREFCLK0P_113           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AD7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AD8       |                |         |TDI_0                     |             |           |              |          |         |           |         |         |          |           |                |
|AD9       |                |IOBM     |IO_L14P_A25_34            |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AD10      |                |IOBM     |IO_L12P_A03_D19_34        |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AD11      |                |IOBS     |IO_L10N_MRCC_33           |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AD12      |                |IOBM     |IO_L10P_MRCC_33           |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AD13      |                |         |VCCO_33                   |             |           |33            |          |         |           |         |any******|          |           |                |
|AD14      |                |IOBM     |IO_L2P_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AD15      |                |IOBS     |IO_L9N_MRCC_32            |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AD16      |                |IOBS     |IO_L10N_MRCC_32           |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AD17      |                |IOBM     |IO_L16P_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AD18      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AD19      |                |IOBS     |IO_L14N_VREF_22           |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AD20      |                |IOBS     |IO_L6N_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AD21      |                |IOBS     |IO_L0N_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AD22      |                |IOBS     |IO_L19N_24                |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AD23      |                |         |VCCO_24                   |             |           |24            |          |         |           |         |any******|          |           |                |
|AD24      |                |IOBM     |IO_L11P_SRCC_24           |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AD25      |                |IOBM     |IO_L0P_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AD26      |                |IOBS     |IO_L0N_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AD27      |                |IOBS     |IO_L1N_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AD28      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AD29      |                |IOBM     |IO_L11P_SRCC_13           |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AD30      |                |IOBM     |IO_L9P_MRCC_13            |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AD31      |                |IOBS     |IO_L5N_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AD32      |                |IOBM     |IO_L14P_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AD33      |                |         |VCCO_13                   |             |           |13            |          |         |           |         |any******|          |           |                |
|AD34      |                |IOBM     |IO_L2P_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AE1       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AE2       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AE3       |                |IPAD     |MGTRXP2_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AE4       |                |IPAD     |MGTRXN2_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AE5       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AE6       |                |         |MGTAVCC_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AE7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AE8       |                |         |TCK_0                     |             |           |              |          |         |           |         |         |          |           |                |
|AE9       |                |IOBS     |IO_L14N_VREF_A24_34       |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AE10      |                |         |VCCO_34                   |             |           |34            |          |         |           |         |any******|          |           |                |
|AE11      |                |IOBS     |IO_L4N_VREF_33            |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AE12      |                |IOBS     |IO_L0N_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AE13      |                |IOBM     |IO_L0P_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AE14      |                |IOBM     |IO_L14P_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AE15      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AE16      |                |IOBM     |IO_L10P_MRCC_32           |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AE17      |                |IOBS     |IO_L16N_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AE18      |                |IOBM     |IO_L18P_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AE19      |                |IOBS     |IO_L8N_SRCC_22            |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AE20      |                |         |VCCO_22                   |             |           |22            |          |         |           |         |any******|          |           |                |
|AE21      |                |IOBM     |IO_L0P_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AE22      |                |IOBS     |IO_L17N_VRP_24            |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AE23      |                |IOBM     |IO_L17P_VRN_24            |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AE24      |                |IOBS     |IO_L11N_SRCC_24           |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AE25      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AE26      |                |IOBS     |IO_L11N_SRCC_12           |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AE27      |                |IOBM     |IO_L1P_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AE28      |                |IOBM     |IO_L3P_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AE29      |                |IOBS     |IO_L3N_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AE30      |                |         |VCCO_13                   |             |           |13            |          |         |           |         |any******|          |           |                |
|AE31      |                |IOBM     |IO_L5P_13                 |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AE32      |                |IOBS     |IO_L14N_VREF_13           |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AE33      |                |IOBM     |IO_L10P_MRCC_13           |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AE34      |                |IOBM     |IO_L8P_SRCC_13            |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AF1       |                |OPAD     |MGTTXP1_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AF2       |                |OPAD     |MGTTXN1_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AF3       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AF4       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AF5       |                |IPAD     |MGTRXP1_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AF6       |                |IPAD     |MGTRXN1_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AF7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AF8       |                |         |TMS_0                     |             |           |              |          |         |           |         |         |          |           |                |
|AF9       |                |IOBM     |IO_L16P_A21_34            |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AF10      |                |IOBS     |IO_L16N_A20_34            |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AF11      |                |IOBM     |IO_L4P_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AF12      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AF13      |                |IOBM     |IO_L12P_VRN_33            |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AF14      |                |IOBS     |IO_L14N_VREF_33           |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AF15      |                |IOBS     |IO_L0N_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AF16      |                |IOBS     |IO_L4N_VREF_32            |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AF17      |                |         |VCCO_32                   |             |           |32            |          |         |           |         |any******|          |           |                |
|AF18      |                |IOBS     |IO_L18N_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
